总共运行步数: 1368 , 分数: -19.0 , 加权分数: -20.980000
总共运行步数: 1196 , 分数: -20.0 , 加权分数: -20.970200
总共运行步数: 1142 , 分数: -21.0 , 加权分数: -20.970498
总共运行步数: 1028 , 分数: -21.0 , 加权分数: -20.970793
总共运行步数: 1242 , 分数: -20.0 , 加权分数: -20.961085
总共运行步数: 1286 , 分数: -21.0 , 加权分数: -20.961474
总共运行步数: 1344 , 分数: -21.0 , 加权分数: -20.961859
总共运行步数: 1126 , 分数: -21.0 , 加权分数: -20.962240
总共运行步数: 1137 , 分数: -21.0 , 加权分数: -20.962618
总共运行步数: 1492 , 分数: -20.0 , 加权分数: -20.952992
总共运行步数: 1125 , 分数: -20.0 , 加权分数: -20.943462
总共运行步数: 1245 , 分数: -20.0 , 加权分数: -20.934027
总共运行步数: 1278 , 分数: -19.0 , 加权分数: -20.914687
总共运行步数: 1265 , 分数: -21.0 , 加权分数: -20.915540
总共运行步数: 1236 , 分数: -20.0 , 加权分数: -20.906385
总共运行步数: 1542 , 分数: -19.0 , 加权分数: -20.887321
总共运行步数: 1158 , 分数: -21.0 , 加权分数: -20.888448
总共运行步数: 1166 , 分数: -20.0 , 加权分数: -20.879563
总共运行步数: 1111 , 分数: -20.0 , 加权分数: -20.870768
总共运行步数: 1072 , 分数: -21.0 , 加权分数: -20.872060
总共运行步数: 1157 , 分数: -20.0 , 加权分数: -20.863339
总共运行步数: 1355 , 分数: -20.0 , 加权分数: -20.854706
总共运行步数: 1292 , 分数: -21.0 , 加权分数: -20.856159
总共运行步数: 1108 , 分数: -20.0 , 加权分数: -20.847597
总共运行步数: 1124 , 分数: -21.0 , 加权分数: -20.849121
总共运行步数: 1369 , 分数: -19.0 , 加权分数: -20.830630
总共运行步数: 1389 , 分数: -20.0 , 加权分数: -20.822324
总共运行步数: 1304 , 分数: -19.0 , 加权分数: -20.804100
总共运行步数: 1324 , 分数: -20.0 , 加权分数: -20.796059
总共运行步数: 1055 , 分数: -21.0 , 加权分数: -20.798099
总共运行步数: 1452 , 分数: -19.0 , 加权分数: -20.780118
总共运行步数: 1357 , 分数: -19.0 , 加权分数: -20.762317
总共运行步数: 1083 , 分数: -21.0 , 加权分数: -20.764693
总共运行步数: 1414 , 分数: -18.0 , 加权分数: -20.737047
总共运行步数: 1202 , 分数: -20.0 , 加权分数: -20.729676
总共运行步数: 1282 , 分数: -21.0 , 加权分数: -20.732379
总共运行步数: 1208 , 分数: -20.0 , 加权分数: -20.725056
总共运行步数: 1154 , 分数: -21.0 , 加权分数: -20.727805
总共运行步数: 1096 , 分数: -21.0 , 加权分数: -20.730527
总共运行步数: 1167 , 分数: -21.0 , 加权分数: -20.733222
总共运行步数: 1394 , 分数: -20.0 , 加权分数: -20.725889
总共运行步数: 1291 , 分数: -20.0 , 加权分数: -20.718631
总共运行步数: 1179 , 分数: -21.0 , 加权分数: -20.721444
总共运行步数: 1168 , 分数: -20.0 , 加权分数: -20.714230
总共运行步数: 1138 , 分数: -21.0 , 加权分数: -20.717087
总共运行步数: 1510 , 分数: -19.0 , 加权分数: -20.699917
总共运行步数: 1748 , 分数: -19.0 , 加权分数: -20.682917
总共运行步数: 1045 , 分数: -21.0 , 加权分数: -20.686088
总共运行步数: 1205 , 分数: -20.0 , 加权分数: -20.679227
总共运行步数: 1409 , 分数: -20.0 , 加权分数: -20.672435
总共运行步数: 1224 , 分数: -20.0 , 加权分数: -20.665711
总共运行步数: 1507 , 分数: -19.0 , 加权分数: -20.649054
总共运行步数: 1230 , 分数: -20.0 , 加权分数: -20.642563
总共运行步数: 1288 , 分数: -20.0 , 加权分数: -20.636137
总共运行步数: 1123 , 分数: -21.0 , 加权分数: -20.639776
总共运行步数: 1484 , 分数: -19.0 , 加权分数: -20.623378
总共运行步数: 1183 , 分数: -21.0 , 加权分数: -20.627144
总共运行步数: 1550 , 分数: -20.0 , 加权分数: -20.620873
总共运行步数: 1308 , 分数: -19.0 , 加权分数: -20.604664
总共运行步数: 1337 , 分数: -21.0 , 加权分数: -20.608618
总共运行步数: 1315 , 分数: -20.0 , 加权分数: -20.602531
总共运行步数: 1418 , 分数: -21.0 , 加权分数: -20.606506
总共运行步数: 1237 , 分数: -21.0 , 加权分数: -20.610441
总共运行步数: 1296 , 分数: -20.0 , 加权分数: -20.604337
总共运行步数: 1191 , 分数: -21.0 , 加权分数: -20.608293
总共运行步数: 1523 , 分数: -19.0 , 加权分数: -20.592210
总共运行步数: 1288 , 分数: -21.0 , 加权分数: -20.596288
总共运行步数: 1230 , 分数: -20.0 , 加权分数: -20.590325
总共运行步数: 1167 , 分数: -21.0 , 加权分数: -20.594422
总共运行步数: 1120 , 分数: -20.0 , 加权分数: -20.588478
总共运行步数: 1204 , 分数: -20.0 , 加权分数: -20.582593
总共运行步数: 1287 , 分数: -21.0 , 加权分数: -20.586767
总共运行步数: 1141 , 分数: -20.0 , 加权分数: -20.580899
总共运行步数: 1181 , 分数: -21.0 , 加权分数: -20.585090
总共运行步数: 1382 , 分数: -21.0 , 加权分数: -20.589240
总共运行步数: 1424 , 分数: -18.0 , 加权分数: -20.563347
总共运行步数: 1428 , 分数: -19.0 , 加权分数: -20.547714
总共运行步数: 1399 , 分数: -19.0 , 加权分数: -20.532237
总共运行步数: 1398 , 分数: -20.0 , 加权分数: -20.526914
总共运行步数: 1084 , 分数: -21.0 , 加权分数: -20.531645
总共运行步数: 1596 , 分数: -18.0 , 加权分数: -20.506329
总共运行步数: 1274 , 分数: -19.0 , 加权分数: -20.491265
总共运行步数: 1282 , 分数: -20.0 , 加权分数: -20.486353
总共运行步数: 1155 , 分数: -20.0 , 加权分数: -20.481489
总共运行步数: 1354 , 分数: -20.0 , 加权分数: -20.476674
总共运行步数: 1395 , 分数: -20.0 , 加权分数: -20.471907
总共运行步数: 1316 , 分数: -20.0 , 加权分数: -20.467188
总共运行步数: 1741 , 分数: -18.0 , 加权分数: -20.442516
总共运行步数: 1231 , 分数: -20.0 , 加权分数: -20.438091
总共运行步数: 1140 , 分数: -20.0 , 加权分数: -20.433710
总共运行步数: 1213 , 分数: -20.0 , 加权分数: -20.429373
总共运行步数: 1296 , 分数: -21.0 , 加权分数: -20.435080
总共运行步数: 1218 , 分数: -21.0 , 加权分数: -20.440729
总共运行步数: 1228 , 分数: -20.0 , 加权分数: -20.436321
总共运行步数: 1433 , 分数: -21.0 , 加权分数: -20.441958
总共运行步数: 1164 , 分数: -21.0 , 加权分数: -20.447539
总共运行步数: 1172 , 分数: -20.0 , 加权分数: -20.443063
总共运行步数: 1346 , 分数: -20.0 , 加权分数: -20.438633
总共运行步数: 1284 , 分数: -20.0 , 加权分数: -20.434246
总共运行步数: 1318 , 分数: -20.0 , 加权分数: -20.429904
总共运行步数: 1194 , 分数: -20.0 , 加权分数: -20.425605
总共运行步数: 1344 , 分数: -21.0 , 加权分数: -20.431349
总共运行步数: 1468 , 分数: -19.0 , 加权分数: -20.417035
总共运行步数: 1193 , 分数: -20.0 , 加权分数: -20.412865
总共运行步数: 1129 , 分数: -20.0 , 加权分数: -20.408736
总共运行步数: 1396 , 分数: -18.0 , 加权分数: -20.384649
总共运行步数: 1064 , 分数: -21.0 , 加权分数: -20.390802
总共运行步数: 1258 , 分数: -20.0 , 加权分数: -20.386894
总共运行步数: 1222 , 分数: -21.0 , 加权分数: -20.393025
总共运行步数: 1140 , 分数: -21.0 , 加权分数: -20.399095
总共运行步数: 1606 , 分数: -19.0 , 加权分数: -20.385104
总共运行步数: 1252 , 分数: -19.0 , 加权分数: -20.371253
总共运行步数: 1160 , 分数: -21.0 , 加权分数: -20.377541
